dep_id,fac_id,dep_name,dep_admin_email
1,0001,Classical Studies,jfontelles0@feedburner.com
2,0001,English,strevna1@issuu.com
3,0001,Film Studies,sweymont2@cbc.ca
4,0001,French Studies,gheinemann3@ning.com
5,0001,Linguistics Program,lschwandermann4@example.com
6,0001,Modern Languages and Literatures,vpietzner5@wikia.com
7,0001,Philosophy,sflye6@a8.net
8,0001,Visual Arts,sheap7@blogspot.com
9,0001,Woman's Studies & Feminist Research,hbroad8@oakley.com
10,0001,"Writing, Rhetoric & Professional Communication",mproger9@quantcast.com
11,0002,Chemical and Biochemical Engineering,npadefielda@goo.ne.jp
12,0002,Civil and Environmental Engineering,fmcqueenb@newsvine.com
13,0002,Electrical and Computer Engineering,rnixonc@xinhuanet.com
14,0002,Mechanical and Materials Engineering,ctawd@mlb.com
15,0003,Communications Sciences and Disorders,vcraigmylee@dot.gov
16,0003,Health and Rehabilitation Sciences,mholburnf@ehow.com
17,0003,Health Studies,sguielg@istockphoto.com
18,0003,Kinesiology,dsooperh@techcrunch.com
19,0003,Nursing,rupsalei@1und1.de
20,0003,Occupational Therapy,lartinj@nasa.gov
21,0003,Physical Therapy,fpanimank@tumblr.com
22,0004,"Media, Information & Technoculture",handreul@youku.com
23,0004,Media Theory & Production,oglenisterm@marketwatch.com
24,0004,Library and Information Science,bhaylettn@intel.com
25,0004,Journalism,chovyo@indiatimes.com
26,0004,Media Studies,sbanbrookp@globo.com
27,0004,Popular Music & Culture,lfardoq@cloudflare.com
28,0004,Health Information Science,llawrenzr@bravesites.com
29,0005,Business Law,lrennoldss@webs.com
30,0005,"Intellectual Property, Information and Technology Law",rabellst@skype.com
31,0005,JD Programs,tbyrneu@stanford.edu
32,0005,Graduate Programs,kelsburyv@salon.com
33,0006,Music Education,ccaverhillw@cmu.edu
34,0006,Music Performance Studies,bferrieroix@amazon.co.jp
35,0006,Music Research and Composition,schasteneyy@eepurl.com
36,0006,Applied Mathematics,rdawkesz@facebook.com
37,0007,Biology,ecrennan10@bandcamp.com
38,0007,Chemistry,uprisley11@sun.com
39,0007,Computer Science,tbowmen12@tumblr.com
40,0007,Earth Sciences,atebbit13@archive.org
41,0007,Mathematics,grolling14@salon.com
42,0007,Physics and Astronomy,amckune15@trellian.com
43,0007,Statistical and Actuarial Sciences,npettegree16@amazon.co.uk
44,0007,Centre for Environment & Sustainability,fkellen17@wordpress.com
45,0007,Planetary Sciences Program,mkenwood18@netvibes.com
46,0008,American Studies,mbennellick19@ucoz.com
47,0008,Anthropology,civanovic1a@apple.com
48,0008,Commercial Aviation Management Program,gderoeck1b@blogtalkradio.com
49,0008,DAN Management and Organizational Studies,lfairn1c@ocn.ne.jp
50,0008,Economics,sdeners1d@usnews.com
51,0008,First Nations Studies,jconnop1e@hao123.com
52,0008,Geography,coregan1f@google.nl
53,0008,History,rtainton1g@reverbnation.com
54,0008,International Relations,ceskrigge1h@mapquest.com
55,0008,Linguistics,aphilpott1i@ca.gov
56,0008,Migration and Ethnic Relations,bdominick1j@wordpress.org
57,0008,Neuroscience,mmacalister1k@un.org
58,0008,Political Science,efeirn1l@cisco.com
59,0008,Psychology,agabrieli1m@dmoz.org
60,0008,Sociology,escrowston1n@last.fm
61,0008,Theory and Criticism,sspurriar1o@omniture.com
62,0008,Women’s Studies and Feminist Research,mclemmensen1p@paginegialle.it
63,0001,Classical Studies,xmegarrell1q@cbsnews.com
